contigs_cluasted8637;size=2	lytic	low quality draft
contigs_cluasted546;size=1	lytic	medium quality draft
contigs_cluasted5747;size=8	lytic	low quality draft
contigs_cluasted6168;size=1	lytic	low quality draft
contigs_cluasted5891;size=1	lytic	low quality draft
contigs_cluasted278;size=2	lytic	high quality draft
contigs_cluasted779;size=2	lysogenic	low quality draft
contigs_cluasted1069;size=1	lytic	low quality draft
contigs_cluasted7625;size=1	lytic	low quality draft
contigs_cluasted1917;size=5	lytic	medium quality draft
contigs_cluasted201;size=1	lytic	medium quality draft
contigs_cluasted317;size=1	lysogenic	medium quality draft
contigs_cluasted5979;size=1	lytic	low quality draft
contigs_cluasted621;size=3	lytic	high quality draft
contigs_cluasted5090;size=9	lytic	low quality draft
contigs_cluasted1671;size=1	lysogenic	low quality draft
contigs_cluasted100000235;size=1	lytic	low quality draft
contigs_cluasted5969;size=1	lytic	low quality draft
contigs_cluasted5273;size=1	lytic	low quality draft
contigs_cluasted1144;size=1	lysogenic	low quality draft
contigs_cluasted8277;size=1	lytic	low quality draft
contigs_cluasted5400;size=1	lytic	low quality draft
contigs_cluasted646;size=1	lysogenic	high quality draft
contigs_cluasted5180;size=1	lytic	low quality draft
contigs_cluasted6364;size=1	lytic	low quality draft
contigs_cluasted127;size=1	lytic	low quality draft
contigs_cluasted5447;size=1	lytic	low quality draft
contigs_cluasted478;size=3	lysogenic	medium quality draft
contigs_cluasted48;size=1	lytic	high quality draft
contigs_cluasted5934;size=1	lytic	low quality draft
contigs_cluasted6617;size=1	lytic	low quality draft
contigs_cluasted1041;size=1	lytic	medium quality draft
contigs_cluasted970;size=1	lytic	medium quality draft
contigs_cluasted367;size=1	lysogenic	medium quality draft
contigs_cluasted748;size=1	lytic	low quality draft
contigs_cluasted978;size=1	lytic	low quality draft
contigs_cluasted1364;size=1	lytic	medium quality draft
contigs_cluasted631;size=1	lysogenic	medium quality draft
contigs_cluasted2467;size=4	lytic	medium quality draft
contigs_cluasted705;size=1	lytic	low quality draft
contigs_cluasted1285;size=1	lysogenic	low quality draft
contigs_cluasted2243;size=1	lytic	medium quality draft
contigs_cluasted533;size=1	lysogenic	low quality draft
contigs_cluasted195;size=5	lysogenic	medium quality draft
contigs_cluasted4113;size=1	lytic	low quality draft
contigs_cluasted5978;size=1	lytic	low quality draft
contigs_cluasted427;size=1	lysogenic	high quality draft
contigs_cluasted5697;size=2	lytic	low quality draft
contigs_cluasted1909;size=1	lytic	medium quality draft
contigs_cluasted854;size=4	lysogenic	high quality draft
contigs_cluasted336;size=1	lysogenic	high quality draft
contigs_cluasted2004;size=1	lytic	medium quality draft
contigs_cluasted5632;size=1	lytic	low quality draft
contigs_cluasted768;size=1	lytic	low quality draft
contigs_cluasted7426;size=2	lytic	low quality draft
contigs_cluasted331;size=1	lysogenic	high quality draft
contigs_cluasted5937;size=3	lytic	low quality draft
contigs_cluasted6574;size=1	lytic	low quality draft
contigs_cluasted444;size=1	lysogenic	medium quality draft
contigs_cluasted360;size=1	lytic	medium quality draft
contigs_cluasted7062;size=1	lytic	low quality draft
contigs_cluasted2745;size=1	lysogenic	low quality draft
contigs_cluasted571;size=1	lytic	high quality draft
contigs_cluasted2444;size=2	lytic	medium quality draft
contigs_cluasted1137;size=1	lytic	high quality draft
contigs_cluasted1038;size=1	lysogenic	low quality draft
contigs_cluasted860;size=1	lysogenic	low quality draft
contigs_cluasted693;size=1	lysogenic	medium quality draft
contigs_cluasted249;size=1	lysogenic	medium quality draft
contigs_cluasted7229;size=2	lytic	low quality draft
contigs_cluasted309;size=1	lytic	high quality draft
contigs_cluasted78;size=2	lytic	medium quality draft
contigs_cluasted7811;size=6	lytic	low quality draft
contigs_cluasted17;size=4	lytic	medium quality draft
contigs_cluasted270;size=2	lytic	medium quality draft
contigs_cluasted5545;size=8	lytic	low quality draft
contigs_cluasted417;size=2	lysogenic	low quality draft
contigs_cluasted5249;size=3	lytic	low quality draft
contigs_cluasted976;size=1	lytic	high quality draft
contigs_cluasted3404;size=1	lysogenic	low quality draft
contigs_cluasted10000030;size=1	lysogenic	medium quality draft
contigs_cluasted5514;size=1	lytic	low quality draft
contigs_cluasted8482;size=6	lytic	low quality draft
contigs_cluasted8008;size=1	lytic	low quality draft
contigs_cluasted10000066;size=1	lytic	medium quality draft
contigs_cluasted8571;size=1	lytic	low quality draft
contigs_cluasted6511;size=1	lytic	low quality draft
contigs_cluasted5137;size=1	lytic	low quality draft
contigs_cluasted2165;size=1	lytic	medium quality draft
