contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted7164;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted100000624;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted5861;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted8232;size=4	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted285;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted404;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Dysgonomonadaceae
contigs_cluasted100000720;size=1	Microviridae	NA	Microvirus sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted2863;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Pectobacteriaceae
contigs_cluasted1337;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7380;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted859;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted6127;size=1	Microviridae	NA	Microviridae IME-16	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted5316;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Odoribacteraceae
contigs_cluasted7035;size=1	Microviridae	NA	Parabacteroides phage YZ-2015b	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted7065;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted6597;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5763;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6839;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000031;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted7426;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Acidaminococcaceae
contigs_cluasted7059;size=8	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted6586;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6364;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8008;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3909;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Odoribacteraceae
contigs_cluasted100000702;size=1	Microviridae	NA	Microviridae sp. ctfJJ5	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted306;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted10000070;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1844;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5010;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5954;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted100000547;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3798;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5338;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3825;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted7115;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted768;size=1	Podoviridae	NA	Vibrio phage vB_ValP_VA-RY-3	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5415;size=3	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5697;size=2	Microviridae	NA	Microvirus sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted7721;size=1	Microviridae	NA	Microvirus sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted8297;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6933;size=1	Microviridae	NA	Microviridae sp. ctCuG14	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted8174;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted6062;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6965;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Selenomonadaceae
contigs_cluasted7285;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted272;size=1	Inoviridae	NA	Inoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6383;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted3118;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted4684;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5974;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted6923;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Selenomonadaceae
contigs_cluasted5628;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted8;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Mycobacteriaceae
contigs_cluasted4462;size=2	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Odoribacteraceae
contigs_cluasted630;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lactobacillaceae
contigs_cluasted5891;size=1	Microviridae	NA	Microviridae sp.	DNA virus	Bacteriophage	Rikenellaceae
