contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted23;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted295;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Microbacteriaceae
contigs_cluasted147;size=10	Siphoviridae	NA	Bacteroides phage LoVEphage	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted129;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted161;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted38;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted312;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted911;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Rikenellaceae
contigs_cluasted97;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted101;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000044;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted179;size=7	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted159;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted10000041;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted704;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted192;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted727;size=3	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000051;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted627;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted98;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted175;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1030;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted609;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted1041;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Propionibacteriaceae
contigs_cluasted24;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Odoribacteraceae
contigs_cluasted10000023;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Carnobacteriaceae
contigs_cluasted245;size=5	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted92;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted999;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1000002;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted180;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted1124;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted124;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted1174;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1000;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1175;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted926;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Barnesiellaceae
contigs_cluasted493;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted12;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted27;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted51;size=1	Herelleviridae	NA	Herelleviridae sp. cttEB8	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted540;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted1036;size=3	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted504;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted246;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000036;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted785;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Pasteurellaceae
contigs_cluasted10000057;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted793;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted268;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted111;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptococcaceae
contigs_cluasted10000017;size=1	Siphoviridae	NA	Siphoviridae sp. ctfeV1	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted71;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted28;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted62;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted714;size=1	Myoviridae	NA	Myoviridae sp. ctxi06	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted740;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted213;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted544;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted640;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted456;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted156;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted375;size=1	Siphoviridae	NA	Bacteroides phage Barc2635	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted143;size=5	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted889;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000018;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted970;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1164;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1027;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted257;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted716;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1026;size=1	Myoviridae	NA	Myoviridae sp. ctZDd15	DNA virus	Bacteriophage	No host predicted
contigs_cluasted582;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted705;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted593;size=1	Herelleviridae	NA	Herelleviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted474;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted992;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted81;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted575;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted806;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted516;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted508;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Actinomycetaceae
contigs_cluasted238;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted258;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted947;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted393;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted150;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Staphylococcaceae
contigs_cluasted1104;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted741;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted324;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted693;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Micrococcaceae
contigs_cluasted1253;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted29;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted359;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Enterobacteriaceae
contigs_cluasted138;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted619;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000016;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted10000038;size=1	Siphoviridae	NA	Bacteroides phage p00	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted1082;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted187;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted470;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted2;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Yersiniaceae
contigs_cluasted805;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted429;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted232;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted888;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted216;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1769;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Actinomycetaceae
contigs_cluasted113;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Prevotellaceae
contigs_cluasted22;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted919;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted551;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted48;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted512;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted969;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted827;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted746;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted10000050;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1137;size=1	Siphoviridae	NA	Siphoviridae sp. ctrG012	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted543;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted10000072;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted883;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted10000046;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted415;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted592;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Clostridiaceae
contigs_cluasted253;size=7	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted496;size=11	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1456;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted471;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Actinomycetaceae
contigs_cluasted881;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted370;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Hungateiclostridiaceae
contigs_cluasted140;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted1889;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted369;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted566;size=1	Myoviridae	NA	Myoviridae sp. ctNQr16	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted229;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1205;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted378;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted732;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Sutterellaceae
contigs_cluasted1918;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted739;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted451;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted372;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted256;size=3	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted545;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted339;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted783;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted331;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1293;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted301;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted1315;size=1	Siphoviridae	NA	Phage apr34_1792	DNA virus	Bacteriophage	Bifidobacteriaceae
contigs_cluasted1182;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted869;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1144;size=1	Siphoviridae	NA	Streptococcus phage Javan377	DNA virus	Bacteriophage	Streptococcaceae
contigs_cluasted86;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted539;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted60;size=1	Herelleviridae	NA	Herelleviridae sp. ct7xn19	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted368;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted344;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted987;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted329;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted963;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted58;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted76;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1295;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1937;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Eggerthellaceae
contigs_cluasted177;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted292;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted337;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1364;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted4;size=6	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted446;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Oscillospiraceae
contigs_cluasted533;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1504;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted984;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted854;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted196;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted279;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1702;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted221;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted2198;size=1	Podoviridae	NA	Podoviridae sp. ctPbe19	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000013;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted485;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted491;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted2208;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Actinomycetaceae
contigs_cluasted1052;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted670;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted311;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted684;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted413;size=2	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1146;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted571;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Peptococcaceae
contigs_cluasted10000052;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted1730;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptococcaceae
contigs_cluasted1535;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted304;size=9	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted586;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted10000048;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted239;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted734;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted695;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1414;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted549;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted791;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted49;size=1	Siphoviridae	NA	Siphoviridae sp. ctXZx16	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted243;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted323;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1925;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted522;size=4	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted120;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted572;size=2	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Veillonellaceae
contigs_cluasted972;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Actinomycetaceae
contigs_cluasted212;size=3	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted647;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted10000035;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted391;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted473;size=4	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted762;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Streptomycetaceae
contigs_cluasted47;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted513;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted54;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted872;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Erysipelotrichaceae
contigs_cluasted506;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted10000068;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted877;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted1285;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1920;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1523;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted2295;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted556;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted2353;size=1	Podoviridae	NA	Podoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1092;size=2	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted273;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1774;size=1	Myoviridae	NA	Myoviridae sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted837;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted10000027;size=1	Siphoviridae	NA	Siphoviridae sp.	DNA virus	Bacteriophage	Ruminococcaceae
